flightNumber,departingFrom,arrivingAt,departure,arrival,aircraftID,pilot1,pilot2,fa1,fa2,fa3
100,KEF,LYR,2019-11-02T06:21:00,2019-11-02T10:21:00,TF-TYQ,1,7,13,21,32
101,LYR,KEF,2019-11-02T11:21:00,2019-11-02T15:21:00,TF-TYQ,1,7,13,21,32
102,KEF,LYR,2019-11-04T05:32:00,2019-11-04T09:32:00,TF-XZR,2,8,14,22,33
103,LYR,KEF,2019-11-04T10:32:00,2019-11-04T14:32:00,TF-XZR,2,8,14,22,33
104,KEF,LYR,2019-11-06T05:39:00,2019-11-06T09:39:00,TF-XZR,1,7,17,34,24
105,LYR,KEF,2019-11-06T10:39:00,2019-11-06T14:39:00,TF-XZR,1,7,17,34,24
106,KEF,LYR,2019-11-08T06:35:00,2019-11-08T10:35:00,TF-IZE,2,8,14,23,37
107,LYR,KEF,2019-11-08T11:35:00,2019-11-08T15:35:00,TF-IZE,2,8,14,23,37
108,KEF,LYR,2019-11-10T06:18:00,2019-11-10T10:18:00,TF-EPG,6,11,15,28,29
109,LYR,KEF,2019-11-10T11:18:00,2019-11-10T15:18:00,TF-EPG,6,11,15,28,29
110,KEF,LYR,2019-11-12T06:20:00,2019-11-12T10:20:00,TF-LNQ,3,7,13,22,29
111,LYR,KEF,2019-11-12T11:20:00,2019-11-12T15:20:00,TF-LNQ,5,12,16,31,37
112,KEF,LYR,2019-11-14T05:18:00,2019-11-14T09:18:00,TF-IZE,3,7,13,22,29
113,LYR,KEF,2019-11-14T10:18:00,2019-11-14T14:18:00,TF-IZE,5,12,16,31,37
114,KEF,LYR,2019-11-16T06:21:00,2019-11-16T10:21:00,TF-EPG,3,7,13,24,36
115,LYR,KEF,2019-11-16T11:21:00,2019-11-16T15:21:00,TF-EPG,3,7,13,24,36
116,KEF,LYR,2019-11-18T05:25:00,2019-11-18T09:25:00,TF-XZM,4,9,15,25,30
117,LYR,KEF,2019-11-18T10:25:00,2019-11-18T14:25:00,TF-XZM,5,8,14,31,33
